ID Evento,Data,Hora,ID Usuário,Usuário,E-mail,Idade,Cidade/UF,Gênero (Usuário),Data de Cadastro,Título,Gênero,Tipo,Episódios Assistidos,Duração da Sessão (min),Tempo Assistido (min),% Assistido,Concluiu?,Dispositivo
19,2026-05-24,11:45,9,Pedro Henrique Martins,pedro.martins@fictmail.com,45,Brasília - DF,M,2024-05-27,Fleabag,Comédia,Série,3,174,108,0.62,Não,Celular
20,2026-05-24,17:45,6,Beatriz Almeida Lima,beatriz.lima@fictmail.com,31,Salvador - BA,F,2024-04-02,Modern Love,Romance,Série (antologia),1,46,39,0.85,Não,Smart TV
21,2026-05-24,17:45,8,Juliana Alves Barbosa,juliana.barbosa@fictmail.com,25,Recife - PE,F,2024-05-10,Blade Runner,Ficção Científica,Filme,-,107,105,0.98,Sim,Tablet
22,2026-05-24,23:15,3,Lucas Gabriel Oliveira,lucas.oliveira@fictmail.com,22,Belo Horizonte - MG,M,2024-02-20,Origem (From),Terror,Série,4,156,150,0.96,Sim,Smart TV
23,2026-05-24,23:15,5,Rafael Henrique Souza,rafael.souza@fictmail.com,27,Porto Alegre - RS,M,2024-03-18,Interestelar,Ficção Científica,Filme,-,101,68,0.67,Não,Celular
24,2026-05-25,10:45,3,Lucas Gabriel Oliveira,lucas.oliveira@fictmail.com,22,Belo Horizonte - MG,M,2024-02-20,Matrix,Ficção Científica,Filme,-,147,87,0.59,Não,Smart TV
25,2026-05-25,14:15,3,Lucas Gabriel Oliveira,lucas.oliveira@fictmail.com,22,Belo Horizonte - MG,M,2024-02-20,Titanic,Romance,Filme,-,129,119,0.92,Sim,Smart TV
26,2026-05-25,22:15,8,Juliana Alves Barbosa,juliana.barbosa@fictmail.com,25,Recife - PE,F,2024-05-10,Modern Family,Comédia,Série,2,110,100,0.91,Sim,Smart TV
27,2026-05-25,22:45,3,Lucas Gabriel Oliveira,lucas.oliveira@fictmail.com,22,Belo Horizonte - MG,M,2024-02-20,The Expanse,Ficção Científica,Série,1,38,18,0.47,Não,Notebook/PC
28,2026-05-26,07:00,6,Beatriz Almeida Lima,beatriz.lima@fictmail.com,31,Salvador - BA,F,2024-04-02,Bridgerton,Romance,Série,3,165,30,0.18,Não,Smart TV
29,2026-05-26,07:30,2,Maria Eduarda Santos,maria.santos@fictmail.com,34,Rio de Janeiro - RJ,F,2024-02-03,007 - Operação Skyfall,Ação,Filme,-,106,77,0.73,Não,Celular
30,2026-05-26,09:30,8,Juliana Alves Barbosa,juliana.barbosa@fictmail.com,25,Recife - PE,F,2024-05-10,IT A Coisa,Terror,Filme,-,106,94,0.89,Não,Smart TV
31,2026-05-26,10:30,8,Juliana Alves Barbosa,juliana.barbosa@fictmail.com,25,Recife - PE,F,2024-05-10,The Expanse,Ficção Científica,Série,1,38,31,0.82,Não,Notebook/PC
32,2026-05-26,11:00,6,Beatriz Almeida Lima,beatriz.lima@fictmail.com,31,Salvador - BA,F,2024-04-02,Free Solo,Documentário,Documentário,-,117,112,0.96,Sim,Smart TV
33,2026-05-26,11:00,8,Juliana Alves Barbosa,juliana.barbosa@fictmail.com,25,Recife - PE,F,2024-05-10,Atividade Paranormal,Terror,Filme,-,112,109,0.97,Sim,Smart TV
34,2026-05-26,11:00,8,Juliana Alves Barbosa,juliana.barbosa@fictmail.com,25,Recife - PE,F,2024-05-10,Demolidor,Ação,Série,1,36,23,0.64,Não,Smart TV
35,2026-05-26,12:15,6,Beatriz Almeida Lima,beatriz.lima@fictmail.com,31,Salvador - BA,F,2024-04-02,Antes do Amanhecer,Romance,Filme,-,102,92,0.9,Sim,Celular
36,2026-05-26,15:15,10,Camila Rodrigues Dias,camila.dias@fictmail.com,19,Fortaleza - CE,F,2024-06-14,True Detective,Suspense,Série (antologia),2,84,81,0.96,Sim,Smart TV
37,2026-05-26,17:30,5,Rafael Henrique Souza,rafael.souza@fictmail.com,27,Porto Alegre - RS,M,2024-03-18,2001: Uma Odisseia no Espaço,Ficção Científica,Filme,-,140,132,0.94,Sim,Celular
38,2026-05-26,22:00,8,Juliana Alves Barbosa,juliana.barbosa@fictmail.com,25,Recife - PE,F,2024-05-10,Avatar: O Último Mestre do Ar (live-action),Fantasia,Série,1,56,38,0.67,Não,Smart TV
39,2026-05-27,09:45,2,Maria Eduarda Santos,maria.santos@fictmail.com,34,Rio de Janeiro - RJ,F,2024-02-03,O Poderoso Chefão,Drama,Filme,-,111,109,0.98,Sim,Celular
40,2026-05-27,10:15,1,João Pedro Silva,joao.silva@fictmail.com,29,São Paulo - SP,M,2024-01-15,O Iluminado,Terror,Filme,-,85,10,0.12,Não,Smart TV
41,2026-05-27,11:30,6,Beatriz Almeida Lima,beatriz.lima@fictmail.com,31,Salvador - BA,F,2024-04-02,Free Solo,Documentário,Documentário,-,117,116,0.99,Sim,Smart TV
42,2026-05-27,15:45,7,Gustavo Ferreira Rocha,gustavo.rocha@fictmail.com,38,Campinas - SP,M,2024-04-22,Ilha do Medo,Suspense,Filme,-,140,123,0.88,Não,Celular
43,2026-05-27,16:45,8,Juliana Alves Barbosa,juliana.barbosa@fictmail.com,25,Recife - PE,F,2024-05-10,A Chegada,Ficção Científica,Filme,-,117,27,0.23,Não,Celular
44,2026-05-27,21:00,3,Lucas Gabriel Oliveira,lucas.oliveira@fictmail.com,22,Belo Horizonte - MG,M,2024-02-20,Modern Love,Romance,Série (antologia),3,138,121,0.88,Não,Celular
45,2026-05-27,21:00,3,Lucas Gabriel Oliveira,lucas.oliveira@fictmail.com,22,Belo Horizonte - MG,M,2024-02-20,A Chegada,Ficção Científica,Filme,-,117,64,0.55,Não,Smart TV
46,2026-05-27,21:00,7,Gustavo Ferreira Rocha,gustavo.rocha@fictmail.com,38,Campinas - SP,M,2024-04-22,Senna,Documentário,Documentário,-,87,86,0.99,Sim,Smart TV
47,2026-05-28,07:15,3,Lucas Gabriel Oliveira,lucas.oliveira@fictmail.com,22,Belo Horizonte - MG,M,2024-02-20,Diário de uma Paixão,Romance,Filme,-,130,124,0.95,Sim,Tablet
48,2026-05-28,08:00,10,Camila Rodrigues Dias,camila.dias@fictmail.com,19,Fortaleza - CE,F,2024-06-14,O Poderoso Chefão,Drama,Filme,-,111,71,0.64,Não,Celular
49,2026-05-28,11:00,5,Rafael Henrique Souza,rafael.souza@fictmail.com,27,Porto Alegre - RS,M,2024-03-18,Olhos que Condenam,Drama,Minissérie,2,70,69,0.99,Sim,Celular
50,2026-05-28,13:30,2,Maria Eduarda Santos,maria.santos@fictmail.com,34,Rio de Janeiro - RJ,F,2024-02-03,Game of Thrones,Fantasia,Série,1,46,24,0.52,Não,Smart TV
51,2026-05-28,16:00,4,Ana Carolina Costa,ana.costa@fictmail.com,41,Curitiba - PR,F,2024-03-05,O Silêncio dos Inocentes,Suspense,Filme,-,107,67,0.63,Não,Tablet
52,2026-05-28,19:00,10,Camila Rodrigues Dias,camila.dias@fictmail.com,19,Fortaleza - CE,F,2024-06-14,007 - Operação Skyfall,Ação,Filme,-,106,33,0.31,Não,Smart TV
53,2026-05-28,20:15,7,Gustavo Ferreira Rocha,gustavo.rocha@fictmail.com,38,Campinas - SP,M,2024-04-22,"Se Beber, Não Case!",Comédia,Filme,-,107,96,0.9,Sim,Celular
54,2026-05-28,21:00,3,Lucas Gabriel Oliveira,lucas.oliveira@fictmail.com,22,Belo Horizonte - MG,M,2024-02-20,2001: Uma Odisseia no Espaço,Ficção Científica,Filme,-,140,123,0.88,Não,Celular
55,2026-05-28,22:00,10,Camila Rodrigues Dias,camila.dias@fictmail.com,19,Fortaleza - CE,F,2024-06-14,Olhos que Condenam,Drama,Minissérie,2,70,69,0.98,Sim,Smart TV
56,2026-05-29,08:45,8,Juliana Alves Barbosa,juliana.barbosa@fictmail.com,25,Recife - PE,F,2024-05-10,O Auto da Compadecida,Comédia,Filme,-,106,35,0.33,Não,Smart TV
57,2026-05-29,09:30,8,Juliana Alves Barbosa,juliana.barbosa@fictmail.com,25,Recife - PE,F,2024-05-10,Atividade Paranormal,Terror,Filme,-,112,25,0.22,Não,Smart TV
58,2026-05-29,13:00,3,Lucas Gabriel Oliveira,lucas.oliveira@fictmail.com,22,Belo Horizonte - MG,M,2024-02-20,Titanic,Romance,Filme,-,129,66,0.51,Não,Notebook/PC
59,2026-05-29,13:00,9,Pedro Henrique Martins,pedro.martins@fictmail.com,45,Brasília - DF,M,2024-05-27,O Exorcista,Terror,Filme,-,102,98,0.96,Sim,Celular
60,2026-05-30,15:00,4,Ana Carolina Costa,ana.costa@fictmail.com,41,Curitiba - PR,F,2024-03-05,O Auto da Compadecida,Comédia,Filme,-,106,80,0.75,Não,Celular
61,2026-05-30,18:00,5,Rafael Henrique Souza,rafael.souza@fictmail.com,27,Porto Alegre - RS,M,2024-03-18,Origem (From),Terror,Série,3,117,116,0.99,Sim,Smart TV
62,2026-05-30,19:30,10,Camila Rodrigues Dias,camila.dias@fictmail.com,19,Fortaleza - CE,F,2024-06-14,O Poderoso Chefão,Drama,Filme,-,111,103,0.93,Sim,Console
63,2026-05-31,16:45,4,Ana Carolina Costa,ana.costa@fictmail.com,41,Curitiba - PR,F,2024-03-05,American Horror Story,Terror,Série (antologia),1,45,42,0.93,Sim,Smart TV
64,2026-06-01,09:00,9,Pedro Henrique Martins,pedro.martins@fictmail.com,45,Brasília - DF,M,2024-05-27,Antes do Amanhecer,Romance,Filme,-,102,30,0.29,Não,Tablet
65,2026-06-01,10:00,8,Juliana Alves Barbosa,juliana.barbosa@fictmail.com,25,Recife - PE,F,2024-05-10,Demolidor,Ação,Série,2,72,71,0.98,Sim,Celular
66,2026-06-01,20:15,5,Rafael Henrique Souza,rafael.souza@fictmail.com,27,Porto Alegre - RS,M,2024-03-18,O Sexto Sentido,Suspense,Filme,-,136,122,0.9,Sim,Smart TV
67,2026-06-01,21:30,5,Rafael Henrique Souza,rafael.souza@fictmail.com,27,Porto Alegre - RS,M,2024-03-18,Dark,Ficção Científica,Série,1,42,21,0.5,Não,Smart TV
68,2026-06-01,23:45,4,Ana Carolina Costa,ana.costa@fictmail.com,41,Curitiba - PR,F,2024-03-05,Um Sonho de Liberdade,Drama,Filme,-,154,136,0.88,Não,Smart TV
69,2026-06-02,07:45,2,Maria Eduarda Santos,maria.santos@fictmail.com,34,Rio de Janeiro - RJ,F,2024-02-03,Forrest Gump,Drama,Filme,-,104,97,0.93,Sim,Celular
70,2026-06-02,10:15,8,Juliana Alves Barbosa,juliana.barbosa@fictmail.com,25,Recife - PE,F,2024-05-10,BoJack Horseman,Animação,Série (animação),4,208,202,0.97,Sim,Celular
71,2026-06-02,20:45,8,Juliana Alves Barbosa,juliana.barbosa@fictmail.com,25,Recife - PE,F,2024-05-10,Blade Runner,Ficção Científica,Filme,-,107,96,0.9,Sim,Celular
72,2026-06-03,20:30,6,Beatriz Almeida Lima,beatriz.lima@fictmail.com,31,Salvador - BA,F,2024-04-02,Curtindo a Vida Adoidado,Comédia,Filme,-,87,76,0.87,Não,Smart TV
73,2026-06-03,20:45,1,João Pedro Silva,joao.silva@fictmail.com,29,São Paulo - SP,M,2024-01-15,Toy Story 3,Animação,Filme (animação),-,90,31,0.34,Não,Celular
74,2026-06-04,12:15,10,Camila Rodrigues Dias,camila.dias@fictmail.com,19,Fortaleza - CE,F,2024-06-14,Olhos que Condenam,Drama,Minissérie,4,140,130,0.93,Sim,Smart TV
75,2026-06-04,19:30,8,Juliana Alves Barbosa,juliana.barbosa@fictmail.com,25,Recife - PE,F,2024-05-10,The Expanse,Ficção Científica,Série,2,76,38,0.5,Não,Tablet
76,2026-06-05,09:00,1,João Pedro Silva,joao.silva@fictmail.com,29,São Paulo - SP,M,2024-01-15,American Horror Story,Terror,Série (antologia),1,45,45,0.99,Sim,Celular
77,2026-06-05,11:45,5,Rafael Henrique Souza,rafael.souza@fictmail.com,27,Porto Alegre - RS,M,2024-03-18,Origem (From),Terror,Série,2,78,67,0.86,Não,Smart TV
78,2026-06-05,12:45,4,Ana Carolina Costa,ana.costa@fictmail.com,41,Curitiba - PR,F,2024-03-05,Hereditário,Terror,Filme,-,95,45,0.47,Não,Smart TV
79,2026-06-05,19:00,6,Beatriz Almeida Lima,beatriz.lima@fictmail.com,31,Salvador - BA,F,2024-04-02,Ted Lasso,Comédia,Série,1,40,37,0.93,Sim,Tablet
80,2026-06-06,10:30,5,Rafael Henrique Souza,rafael.souza@fictmail.com,27,Porto Alegre - RS,M,2024-03-18,Hereditário,Terror,Filme,-,95,22,0.23,Não,Smart TV
81,2026-06-06,15:15,3,Lucas Gabriel Oliveira,lucas.oliveira@fictmail.com,22,Belo Horizonte - MG,M,2024-02-20,Nosso Planeta,Documentário,Documentário (natureza),-,81,40,0.5,Não,Celular
82,2026-06-07,07:15,2,Maria Eduarda Santos,maria.santos@fictmail.com,34,Rio de Janeiro - RJ,F,2024-02-03,Senna,Documentário,Documentário,-,87,71,0.82,Não,Smart TV
83,2026-06-07,11:15,5,Rafael Henrique Souza,rafael.souza@fictmail.com,27,Porto Alegre - RS,M,2024-03-18,Psicose,Suspense,Filme,-,130,47,0.36,Não,Smart TV
84,2026-06-07,13:30,9,Pedro Henrique Martins,pedro.martins@fictmail.com,45,Brasília - DF,M,2024-05-27,"Bom Dia, Verônica",Suspense,Série,1,53,46,0.87,Não,Notebook/PC
85,2026-06-08,15:00,7,Gustavo Ferreira Rocha,gustavo.rocha@fictmail.com,38,Campinas - SP,M,2024-04-22,Demolidor,Ação,Série,2,72,41,0.57,Não,Celular
86,2026-06-08,18:45,7,Gustavo Ferreira Rocha,gustavo.rocha@fictmail.com,38,Campinas - SP,M,2024-04-22,Demolidor,Ação,Série,3,108,13,0.12,Não,Smart TV
87,2026-06-08,21:30,8,Juliana Alves Barbosa,juliana.barbosa@fictmail.com,25,Recife - PE,F,2024-05-10,Duro de Matar,Ação,Filme,-,124,123,0.99,Sim,Celular
88,2026-06-08,22:30,9,Pedro Henrique Martins,pedro.martins@fictmail.com,45,Brasília - DF,M,2024-05-27,Sandman,Fantasia,Série,2,92,79,0.86,Não,Smart TV
89,2026-06-09,17:45,4,Ana Carolina Costa,ana.costa@fictmail.com,41,Curitiba - PR,F,2024-03-05,"Se Beber, Não Case!",Comédia,Filme,-,107,94,0.88,Não,Smart TV
90,2026-06-10,07:30,4,Ana Carolina Costa,ana.costa@fictmail.com,41,Curitiba - PR,F,2024-03-05,Todo Mundo em Pânico,Comédia,Filme,-,105,90,0.86,Não,Notebook/PC
91,2026-06-10,14:00,5,Rafael Henrique Souza,rafael.souza@fictmail.com,27,Porto Alegre - RS,M,2024-03-18,Ilha das Flores,Documentário,Curta-documentário,-,12,12,0.99,Sim,Smart TV
92,2026-06-10,16:15,5,Rafael Henrique Souza,rafael.souza@fictmail.com,27,Porto Alegre - RS,M,2024-03-18,Black Mirror,Ficção Científica,Série (antologia),1,42,39,0.93,Sim,Notebook/PC
93,2026-06-10,19:45,10,Camila Rodrigues Dias,camila.dias@fictmail.com,19,Fortaleza - CE,F,2024-06-14,Breaking Bad,Drama,Série,1,41,41,1,Sim,Notebook/PC
94,2026-06-11,09:15,5,Rafael Henrique Souza,rafael.souza@fictmail.com,27,Porto Alegre - RS,M,2024-03-18,Psicose,Suspense,Filme,-,130,127,0.98,Sim,Smart TV
95,2026-06-11,14:30,4,Ana Carolina Costa,ana.costa@fictmail.com,41,Curitiba - PR,F,2024-03-05,Chernobyl,Drama,Minissérie,3,153,112,0.73,Não,Console
96,2026-06-12,13:30,6,Beatriz Almeida Lima,beatriz.lima@fictmail.com,31,Salvador - BA,F,2024-04-02,A Linha Tênue,Documentário,Documentário,-,120,29,0.24,Não,Notebook/PC
97,2026-06-12,19:15,3,Lucas Gabriel Oliveira,lucas.oliveira@fictmail.com,22,Belo Horizonte - MG,M,2024-02-20,Arquivo X,Ficção Científica,Série,4,156,55,0.35,Não,Notebook/PC
98,2026-06-13,15:15,5,Rafael Henrique Souza,rafael.souza@fictmail.com,27,Porto Alegre - RS,M,2024-03-18,La Casa de Papel,Suspense,Série,1,48,12,0.25,Não,Smart TV
99,2026-06-13,21:45,4,Ana Carolina Costa,ana.costa@fictmail.com,41,Curitiba - PR,F,2024-03-05,As Branquelas,Comédia,Filme,-,114,100,0.88,Não,Celular
100,2026-06-14,09:15,10,Camila Rodrigues Dias,camila.dias@fictmail.com,19,Fortaleza - CE,F,2024-06-14,Breaking Bad,Drama,Série,1,41,35,0.86,Não,Notebook/PC
101,2026-06-14,13:00,10,Camila Rodrigues Dias,camila.dias@fictmail.com,19,Fortaleza - CE,F,2024-06-14,Ilha do Medo,Suspense,Filme,-,140,132,0.94,Sim,Smart TV
102,2026-06-15,21:00,9,Pedro Henrique Martins,pedro.martins@fictmail.com,45,Brasília - DF,M,2024-05-27,Clube da Luta,Drama,Filme,-,103,103,1,Sim,Smart TV
103,2026-06-15,21:30,1,João Pedro Silva,joao.silva@fictmail.com,29,São Paulo - SP,M,2024-01-15,O Rei Leão,Animação,Filme (animação),-,99,99,1,Sim,Smart TV
104,2026-06-16,10:30,4,Ana Carolina Costa,ana.costa@fictmail.com,41,Curitiba - PR,F,2024-03-05,The Office (US),Comédia,Série,2,108,10,0.09,Não,Smart TV
105,2026-06-16,19:00,5,Rafael Henrique Souza,rafael.souza@fictmail.com,27,Porto Alegre - RS,M,2024-03-18,A Maldição da Residência Hill,Terror,Série,1,43,41,0.96,Sim,Notebook/PC
106,2026-06-16,21:15,5,Rafael Henrique Souza,rafael.souza@fictmail.com,27,Porto Alegre - RS,M,2024-03-18,Ruptura,Ficção Científica,Série,2,116,63,0.54,Não,Smart TV
107,2026-06-17,08:15,6,Beatriz Almeida Lima,beatriz.lima@fictmail.com,31,Salvador - BA,F,2024-04-02,The Last of Us,Terror,Série,2,82,81,0.99,Sim,Notebook/PC
108,2026-06-17,09:15,7,Gustavo Ferreira Rocha,gustavo.rocha@fictmail.com,38,Campinas - SP,M,2024-04-22,The Office (US),Comédia,Série,1,54,10,0.18,Não,Celular
109,2026-06-17,11:15,10,Camila Rodrigues Dias,camila.dias@fictmail.com,19,Fortaleza - CE,F,2024-06-14,Modern Love,Romance,Série (antologia),1,46,44,0.95,Sim,Smart TV
110,2026-06-17,22:00,8,Juliana Alves Barbosa,juliana.barbosa@fictmail.com,25,Recife - PE,F,2024-05-10,The Boys,Ação,Série,1,54,52,0.97,Sim,Console
111,2026-06-17,23:30,2,Maria Eduarda Santos,maria.santos@fictmail.com,34,Rio de Janeiro - RJ,F,2024-02-03,Democracia em Vertigem,Documentário,Documentário,-,79,76,0.96,Sim,Console
112,2026-06-18,08:00,5,Rafael Henrique Souza,rafael.souza@fictmail.com,27,Porto Alegre - RS,M,2024-03-18,Outlander,Romance,Série,1,54,39,0.73,Não,Celular
113,2026-06-18,10:45,5,Rafael Henrique Souza,rafael.souza@fictmail.com,27,Porto Alegre - RS,M,2024-03-18,A Maldição da Residência Hill,Terror,Série,2,86,70,0.81,Não,Notebook/PC
114,2026-06-18,12:45,7,Gustavo Ferreira Rocha,gustavo.rocha@fictmail.com,38,Campinas - SP,M,2024-04-22,Kill Bill: Volume 1,Ação,Filme,-,122,107,0.88,Não,Celular
115,2026-06-18,15:15,10,Camila Rodrigues Dias,camila.dias@fictmail.com,19,Fortaleza - CE,F,2024-06-14,O Sexto Sentido,Suspense,Filme,-,136,132,0.97,Sim,Notebook/PC
116,2026-06-18,16:15,8,Juliana Alves Barbosa,juliana.barbosa@fictmail.com,25,Recife - PE,F,2024-05-10,Ruptura,Ficção Científica,Série,1,58,42,0.72,Não,Smart TV
117,2026-06-19,13:15,5,Rafael Henrique Souza,rafael.souza@fictmail.com,27,Porto Alegre - RS,M,2024-03-18,Interestelar,Ficção Científica,Filme,-,101,91,0.9,Sim,Celular
118,2026-06-19,16:00,3,Lucas Gabriel Oliveira,lucas.oliveira@fictmail.com,22,Belo Horizonte - MG,M,2024-02-20,Arquivo X,Ficção Científica,Série,1,39,35,0.91,Sim,Console
119,2026-06-19,16:15,7,Gustavo Ferreira Rocha,gustavo.rocha@fictmail.com,38,Campinas - SP,M,2024-04-22,Breaking Bad,Drama,Série,1,41,38,0.92,Sim,Celular
120,2026-06-19,18:15,10,Camila Rodrigues Dias,camila.dias@fictmail.com,19,Fortaleza - CE,F,2024-06-14,The Crown,Drama,Série,2,108,53,0.49,Não,Console
121,2026-06-19,21:00,9,Pedro Henrique Martins,pedro.martins@fictmail.com,45,Brasília - DF,M,2024-05-27,Succession,Drama,Série,1,42,23,0.55,Não,Celular
122,2026-06-19,22:15,8,Juliana Alves Barbosa,juliana.barbosa@fictmail.com,25,Recife - PE,F,2024-05-10,Arquivo X,Ficção Científica,Série,2,78,70,0.9,Sim,Smart TV
123,2026-06-20,07:30,5,Rafael Henrique Souza,rafael.souza@fictmail.com,27,Porto Alegre - RS,M,2024-03-18,Black Mirror,Ficção Científica,Série (antologia),4,168,161,0.96,Sim,Celular
124,2026-06-20,08:45,7,Gustavo Ferreira Rocha,gustavo.rocha@fictmail.com,38,Campinas - SP,M,2024-04-22,Band of Brothers,Ação,Minissérie,3,129,125,0.97,Sim,Smart TV
125,2026-06-20,09:30,10,Camila Rodrigues Dias,camila.dias@fictmail.com,19,Fortaleza - CE,F,2024-06-14,Mindhunter,Suspense,Série,3,156,17,0.11,Não,Tablet
126,2026-06-20,11:15,5,Rafael Henrique Souza,rafael.souza@fictmail.com,27,Porto Alegre - RS,M,2024-03-18,The Expanse,Ficção Científica,Série,1,38,27,0.7,Não,Smart TV
127,2026-06-20,11:45,7,Gustavo Ferreira Rocha,gustavo.rocha@fictmail.com,38,Campinas - SP,M,2024-04-22,Duro de Matar,Ação,Filme,-,124,113,0.91,Sim,Tablet
128,2026-06-20,13:15,7,Gustavo Ferreira Rocha,gustavo.rocha@fictmail.com,38,Campinas - SP,M,2024-04-22,"Se Beber, Não Case!",Comédia,Filme,-,107,30,0.28,Não,Tablet
129,2026-06-20,21:30,1,João Pedro Silva,joao.silva@fictmail.com,29,São Paulo - SP,M,2024-01-15,A Maldição da Residência Hill,Terror,Série,2,86,78,0.91,Sim,Notebook/PC
130,2026-06-20,21:45,5,Rafael Henrique Souza,rafael.souza@fictmail.com,27,Porto Alegre - RS,M,2024-03-18,Clube da Luta,Drama,Filme,-,103,32,0.31,Não,Celular
131,2026-06-21,07:45,5,Rafael Henrique Souza,rafael.souza@fictmail.com,27,Porto Alegre - RS,M,2024-03-18,Mindhunter,Suspense,Série,1,52,45,0.87,Não,Smart TV
132,2026-06-21,07:45,5,Rafael Henrique Souza,rafael.souza@fictmail.com,27,Porto Alegre - RS,M,2024-03-18,The Last of Us,Terror,Série,2,82,53,0.65,Não,Smart TV
133,2026-06-21,17:30,3,Lucas Gabriel Oliveira,lucas.oliveira@fictmail.com,22,Belo Horizonte - MG,M,2024-02-20,2001: Uma Odisseia no Espaço,Ficção Científica,Filme,-,140,134,0.96,Sim,Smart TV
134,2026-06-22,14:00,8,Juliana Alves Barbosa,juliana.barbosa@fictmail.com,25,Recife - PE,F,2024-05-10,The Witcher,Fantasia,Série,1,43,39,0.91,Sim,Notebook/PC
135,2026-06-22,15:00,7,Gustavo Ferreira Rocha,gustavo.rocha@fictmail.com,38,Campinas - SP,M,2024-04-22,La Casa de Papel,Suspense,Série,3,144,128,0.89,Não,Celular
136,2026-06-22,15:30,3,Lucas Gabriel Oliveira,lucas.oliveira@fictmail.com,22,Belo Horizonte - MG,M,2024-02-20,Arquivo X,Ficção Científica,Série,1,39,37,0.96,Sim,Console
137,2026-06-22,18:00,5,Rafael Henrique Souza,rafael.souza@fictmail.com,27,Porto Alegre - RS,M,2024-03-18,Antes do Amanhecer,Romance,Filme,-,102,85,0.83,Não,Celular
138,2026-06-22,19:30,8,Juliana Alves Barbosa,juliana.barbosa@fictmail.com,25,Recife - PE,F,2024-05-10,Interestelar,Ficção Científica,Filme,-,101,90,0.89,Não,Smart TV
